market_id,market_slug,market_question,broad_category,series_slug,start_time_utc,resolution_time_utc,volume,source_data_path,yes_token_id
2132798,will-ethereum-dip-to-2200-in-may-2026,"Will Ethereum dip to $2,200 in May?",crypto,ethereum-hit-price-monthly,2026-05-01T14:39:49.696729Z,2026-05-16 15:21:55+00,284878.70761699986,data/raw_orderbooks/will-ethereum-dip-to-2200-in-may-2026.parquet,56855127612795632226511371067529679879998059207589752390111439814826818500281
2099029,us-x-iran-permanent-peace-deal-by-may-15-2026-144-885-839,"US x Iran permanent peace deal by May 15, 2026?",politics,,2026-04-27T18:01:34.056Z,2026-05-16 06:49:05+00,18446435.319120057,data/raw_orderbooks/us-x-iran-permanent-peace-deal-by-may-15-2026-144-885-839.parquet,88304163265734087403223321042172792808390195323159743956352682998398711353447
2154992,confirmed-case-of-hantavirus-in-us-by-may-15,Confirmed case of Hantavirus in US by May 15?,pop-culture,confirmed-case-of-hantavirus,2026-05-07T16:09:46.062Z,2026-05-16 03:29:54+00,1295665.973505997,data/raw_orderbooks/confirmed-case-of-hantavirus-in-us-by-may-15.parquet,68619397432091267784156099126045096467805735036076045951218966168316842232337
2256152,will-figures-f03-robots-run-between-8-and-50-hours-without-failure,Will Figure's F.03 robots run between 8 and 50 hours without failure?,science,f03-robot,2026-05-14T00:06:18.377968Z,2026-05-16 06:16:16+00,51622.51863,data/raw_orderbooks/will-figures-f03-robots-run-between-8-and-50-hours-without-failure.parquet,92351640367784666053111503193015913885148566241667166558682055156907609739860
2152418,epl-ast-liv-2026-05-17-liv,Will Liverpool FC win on 2026-05-17?,sports,premier-league-2025,2026-05-04T04:13:11.917616Z,2026-05-15 22:26:22+00,4959141.542486016,data/raw_orderbooks/epl-ast-liv-2026-05-17-liv.parquet,24927956290195518297614243093112954558170251873920589555630586413804578416274
2125714,gemini-3pt2-released-by-may-15-2026,"Gemini 3.2 released by May 15, 2026?",tech,,2026-04-30T15:05:55.896168Z,2026-05-16 15:06:58+00,132241.4087880001,data/raw_orderbooks/gemini-3pt2-released-by-may-15-2026.parquet,75514867851269897914501544571581043065976600903158492949656711011110005122780
2257229,highest-temperature-in-seoul-on-may-16-2026-24c,Will the highest temperature in Seoul be 24°C on May 16?,weather,seoul-daily-weather,2026-05-14T04:14:51.016966Z,2026-05-16 17:49:08+00,51538.274135999985,data/raw_orderbooks/highest-temperature-in-seoul-on-may-16-2026-24c.parquet,32575081522090469365782797435853332105236009064991176963134206772394766840726
2166519,xi-meets-with-iranian-officials-by-may-15,Xi meets with Iranian officials by May 15?,politics,,2026-05-05T17:10:37.763189Z,2026-05-16 06:52:11+00,4654334.811963998,data/raw_orderbooks/xi-meets-with-iranian-officials-by-may-15.parquet,81787581842959478106686478412092867548627543992356819047601036246939457346128
2159734,will-spacex-starship-flight-test-12-launch-by-may-15,Will SpaceX Starship Flight Test 12 launch by May 15?,pop-culture,,2026-05-05T23:46:14.151585Z,2026-05-16 09:19:58+00,94512.009712,data/raw_orderbooks/will-spacex-starship-flight-test-12-launch-by-may-15.parquet,102201832011197744235108528203274647875847480738477973545140169447529248194970
2144475,bun-moe-hof-2026-05-16-hof,Will TSG 1899 Hoffenheim win on 2026-05-16?,sports,bundesliga-2025,2026-05-03T04:18:33.827138Z,2026-05-16 18:07:58+00,2298003.8114010007,data/raw_orderbooks/bun-moe-hof-2026-05-16-hof.parquet,104964284259348000427532482336079006296641146135408293505239020111304516793756
