market_id,market_slug,market_question,event_category,associated_asset,benchmark_asset,resolution_time_utc,source_data_path,yes_token_id,study_group
2037907,clavicular-pregnancy-in-2026,Clavicular pregnancy in 2026?,culture,,SPY,2026-05-01T00:33:40Z,data/raw_orderbooks/clavicular-pregnancy-in-2026.parquet,69346400964404183285488689638264340789910324753548562565735153576318942751353,proof_of_concept_positive
2144523,bun-wer-dor-2026-05-16-dor,Will BV Borussia 09 Dortmund win on 2026-05-16?,sports,,SPY,2026-05-16T18:20:18Z,data/raw_orderbooks/bun-wer-dor-2026-05-16-dor.parquet,86328003345747828053721698113331841443057948183815356417007056566058634436230,proof_of_concept_negative
1540766,strait-of-hormuz-traffic-returns-to-normal-by-april-30,Strait of Hormuz traffic returns to normal by end of April?,,USO,SPY,2026-05-12T15:25:37Z,data/raw_orderbooks/strait-of-hormuz-traffic-returns-to-normal-by-april-30.parquet,77893140510362582253172593084218413010407941075415081594586195705930819989216,final_study_primary
669662,will-there-be-no-change-in-fed-interest-rates-after-the-april-2026-meeting,Will there be no change in Fed interest rates after the April 2026 meeting?,,TLT,SPY,2026-04-29T21:24:28Z,data/raw_orderbooks/will-there-be-no-change-in-fed-interest-rates-after-the-april-2026-meeting.parquet,63586620628756015058616403521099137018911742768824051367331188904593189743777,final_study_primary
1937959,will-annual-inflation-increase-by-3pt8-in-april,Will annual inflation increase by 3.8% in April?,,TLT,SPY,2026-05-12T15:04:51Z,data/raw_orderbooks/will-annual-inflation-increase-by-3pt8-in-april.parquet,95202243086605629050207687476601050314015517436939752007967220677752052866352,final_study_primary
2029346,will-bitcoin-reach-80k-april-20-26,"Will Bitcoin reach $80,000 April 20-26?",,BTC-USD,SPY,2026-04-27T06:54:02Z,data/raw_orderbooks/will-bitcoin-reach-80k-april-20-26.parquet,91360396820458038177032043714602707124456748730890790728963892892027446623298,final_study_primary
2029406,will-ethereum-reach-2600-april-20-26,"Will Ethereum reach $2,600 April 20-26?",,ETH-USD,SPY,2026-04-27T06:42:14Z,data/raw_orderbooks/will-ethereum-reach-2600-april-20-26.parquet,102928783986151013589712224850609422133267430378639591192118300641878776257485,final_study_primary
1542697,will-nvda-dip-to-168-in-april,Will NVIDIA dip to $168 in April?,,NVDA,SPY,2026-04-30T22:52:44Z,data/raw_orderbooks/will-nvda-dip-to-168-in-april.parquet,22474321379362769985364541575899844163729885697409889100458730591833898574428,final_study_primary
1921507,tsla-quarterly-earnings-nongaap-eps-04-22-2026-0pt39,Will Tesla (TSLA) beat quarterly earnings?,,TSLA,SPY,2026-04-22T22:10:36Z,data/raw_orderbooks/tsla-quarterly-earnings-nongaap-eps-04-22-2026-0pt39.parquet,98521402823707122091041406251233338500997273661645331079192987954847863110256,final_study_primary
1993856,fda-approves-sanofis-sarclisa,FDA approves Sanofi’s Subcutaneous Sarclisa?,,SNY,SPY,2026-05-08T08:38:40Z,data/raw_orderbooks/fda-approves-sanofis-sarclisa.parquet,49746537589239804822677095949218030012348050927620835449042701425110987537956,final_study_primary
2009421,will-wti-reach-100-by-april-20-2026,Will WTI Crude Oil (WTI) hit (HIGH) $100 Week of April 20 2026?,,USO,SPY,2026-04-25T06:42:44Z,data/raw_orderbooks/will-wti-reach-100-by-april-20-2026.parquet,93941771440669822574321914279067531070834692021621933776136175695956314797335,final_study_primary
